month;USA;Europe;Japan;Emerging
01/11/1997;1,841820121;0,115565185;0,08125677;0,086483813
01/12/1997;1,261457443;0,06171159;0,07260187;0,05922784
01/01/1998;1,278409123;0,07352941;0,058489304;0,05541092
01/02/1998;2,012711763;0,097987286;0,079449154;0,080378382
01/03/1998;1,583008528;0,074775275;0,0954578;0,063219858
01/04/1998;1,23002255;0,063593004;0,058572505;0,036112371
01/05/1998;2,360229015;0,114482869;0,376382023;0,145270258
01/06/1998;2,069890261;0,104751531;0,268163919;0,113793239
01/07/1998;1,638926625;0,061990489;0,144361407;0,10413687
01/08/1998;2,601694822;0,098305087;0,186440676;0,140499553
01/09/1998;1,809275508;0,067156515;0,213320687;0,078591832
01/10/1998;1,381533504;0,090567195;0,053726304;0,053322347
01/11/1998;1,875407696;0,097847359;0,163078934;0,084543549
01/12/1998;1,886326194;0,093904446;0,140032947;0,09191017
01/01/1999;1,67397368;0,111598245;0,119569547;0,088942964
01/02/1999;1,372514486;0,095900051;0,070385359;0,062513312
01/03/1999;2,49388361;0,195722514;0,165732771;0,117134443
01/04/1999;2,999512196;0,258494558;0,154446438;0,112946975
01/05/1999;2,38850975;0,186478338;0,158704966;0,10858761
01/06/1999;2,06567359;0,171179324;0,189284831;0,08792865
01/07/1999;1,540845275;0,059395712;0,094688818;0,094688818
01/08/1999;1,405622482;0,071954487;0,142235607;0,078824069
01/09/1999;1,910775065;0,10218493;0,216000661;0,116308049
01/10/1999;1,94621098;0,08581718;0,199218452;0,093963359
01/11/1999;1,483876348;0,081240156;0,099477738;0,090315317
01/12/1999;2,383111954;0,144306094;0,131936997;0,10416079
01/01/2000;1,742132306;0,076268463;0,064226076;0,076479734
01/02/2000;1,828542233;0,121619324;0,068038784;0,068934029
01/03/2000;1,328521013;0,061434496;0,191982806;0,078813992
01/04/2000;1,380801916;0,063217434;0,066544667;0,067858049
01/05/2000;2,026481628;0,0766995;0,088809945;0,108356634
01/06/2000;1,705107093;0,062602965;0,172981873;0,096679094
01/07/2000;1,290530682;0,055654137;0,177447975;0,081507205
01/08/2000;1,12130475;0,043911237;0,062730335;0,063968436
01/09/2000;1,505408883;0,108177624;0,136167631;0,095556237
01/10/2000;2,027748108;0,076129491;0,092493773;0,10597465
01/11/2000;1,249906421;0,058378863;0,097298108;0,071299422
01/12/2000;1,346932411;0,058393025;0,085643105;0,071710731
01/01/2001;1,328147888;0,056501322;0,073378339;0,068743918
01/02/2001;1,167283893;0,060376751;0,096602805;0,072452099
01/03/2001;1,412816286;0,073524111;0,172997907;0,065632978
01/04/2001;1,327534914;0,056458382;0,160219729;0,077901322
01/05/2001;1,595862627;0,072404877;0,177318066;0,076215659
01/06/2001;1,790200949;0,094221104;0,133479893;0,079757339
01/07/2001;1,769424319;0,092796477;0,188738599;0,063740667
01/08/2001;1,629972935;0,067207415;0,054074932;0,05732756
01/09/2001;10,25736904;0,311237469;0,710758626;0,313442591
01/10/2001;10,85358143;0,27238989;0,595196426;0,240289822
01/11/2001;7,606491089;0,20283976;0,412923783;0,186063535
01/12/2001;6,368799686;0,150700497;0,33320713;0,149863491
01/01/2002;4,628592968;0,118701005;0,283687949;0,145380246
01/02/2002;3,702837467;0,079513564;0,18709074;0,13457404
01/03/2002;3,96774888;0,111040384;0,113162175;0,148525352
01/04/2002;4,016994953;0,141367323;0,131324843;0,122380109
01/05/2002;4,133814812;0,146636211;0,154741734;0,109754158
01/06/2002;3,77170825;0,100221863;0,244816765;0,105094044
01/07/2002;3,124746323;0,099017938;0,162324488;0,099103372
01/08/2002;3,03738308;0,078150176;0,185304537;0,110673881
01/09/2002;3,870677471;0,149276124;0,232540697;0,123969063
01/10/2002;4,188045979;0,176813204;0,513104975;0,176995673
01/11/2002;3,994419575;0,155664877;0,264336586;0,14298909
01/12/2002;4,090268135;0,140301387;0,430554539;0,151201998
01/01/2003;4,800172329;0,22458205;0,638587952;0,217520193
01/02/2003;4,920927525;0,277905723;0,468294173;0,197176497
01/03/2003;8,51468277;0,468012585;0,563712656;0,311180415
01/04/2003;7,361490726;0,297681584;0,532324731;0,23888256
01/05/2003;4,548680305;0,195855805;0,283849001;0,168068483
01/06/2003;4,321842194;0,162524593;0,320676327;0,159570995
01/07/2003;4,039018631;0,106691055;0,312452376;0,123938103
01/08/2003;3,831727505;0,142678533;0,360373616;0,126188827
01/09/2003;3,530726194;0,140782123;0,216014892;0,112515927
01/10/2003;3,245232582;0,110404817;0,247574434;0,126780651
01/11/2003;3,279761553;0,147625627;0,247254744;0,11520693
01/12/2003;3,748779297;0,130718957;0,443242431;0,143529885
01/01/2004;3,376489639;0,144916873;0,250110328;0,13899321
01/02/2004;3,333825111;0,109160642;0,250774443;0,107142025
01/03/2004;3,637023687;0,219963701;0,174228668;0,110803323
01/04/2004;4,214869976;0,212954095;0,530543089;0,155517379
01/05/2004;3,593896866;0,126545665;0,253091335;0,123310664
01/06/2004;4,30360508;0,174573058;0,265654653;0,16458604
01/07/2004;4,127127647;0,125771952;0,180750117;0,176786297
01/08/2004;4,102490425;0,136749675;0,165539086;0,099247687
01/09/2004;4,439915657;0,177596624;0,276584893;0,134844718
01/10/2004;3,54585743;0,13501534;0,286396176;0,105514383
01/11/2004;3,718600512;0,209455868;0,18972452;0,130610354
01/12/2004;2,913427353;0,096611064;0,128311574;0,107654599
01/01/2005;2,747172117;0,09769355;0,146907598;0,121005467
01/02/2005;3,099561691;0,174546027;0,313087046;0,137181557
01/03/2005;2,523305416;0,11354875;0,147192821;0,102924304
01/04/2005;2,609209776;0,07835021;0,118264467;0,072359181
